Time,997_OFFICE_1_CORE:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_1_CORE:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_1_CORE:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_1_CORE:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_1_EAST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_1_EAST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_1_EAST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_1_EAST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_1_NORTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_1_NORTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_1_NORTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_1_NORTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_1_SOUTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_1_SOUTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_1_SOUTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_1_SOUTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_1_WEST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_1_WEST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_1_WEST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_1_WEST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_2_CORE:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_2_CORE:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_2_CORE:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_2_CORE:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_2_EAST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_2_EAST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_2_EAST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_2_EAST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_2_NORTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_2_NORTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_2_NORTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_2_NORTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_2_SOUTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_2_SOUTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_2_SOUTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_2_SOUTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_2_WEST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_2_WEST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_2_WEST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_2_WEST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_3_CORE:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_3_CORE:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_3_CORE:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_3_CORE:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_3_EAST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_3_EAST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_3_EAST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_3_EAST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_3_NORTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_3_NORTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_3_NORTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_3_NORTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_3_SOUTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_3_SOUTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_3_SOUTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_3_SOUTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_3_WEST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_3_WEST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_3_WEST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_3_WEST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,8.114232E+04,0.000000E+00,6.260063E+00,9.080134E+03,4.909506E+03,3.647789E-01,3.789343E-01,2.422885E+04,1.568819E+04,9.733834E-01,1.210825E+00,2.425134E+04,1.665614E+04,9.742868E-01,1.285542E+00,8.821521E+03,4.916225E+03,3.543913E-01,3.794415E-01,0.000000E+00,8.697891E+04,0.000000E+00,6.710352E+00,9.610937E+03,4.996392E+03,3.861021E-01,3.856412E-01,2.569916E+04,1.556830E+04,1.032451E+00,1.201583E+00,2.582057E+04,1.669234E+04,1.037328E+00,1.288326E+00,9.654825E+03,4.876679E+03,3.878651E-01,3.763948E-01,8.871524E+04,8.471659E+04,3.564170E+00,6.538729E+00,1.609071E+04,4.834951E+03,6.462174E-01,3.732522E-01,4.521414E+04,1.494084E+04,1.815879E+00,1.153400E+00,4.539467E+04,1.576484E+04,1.823129E+00,1.216997E+00,1.615543E+04,4.762475E+03,6.488162E-01,3.676595E-01
00:20:00,0.000000E+00,8.114312E+04,0.000000E+00,6.260105E+00,9.127086E+03,4.877700E+03,3.666629E-01,3.764810E-01,2.434349E+04,1.559113E+04,9.779832E-01,1.203339E+00,2.436613E+04,1.654100E+04,9.788927E-01,1.276661E+00,8.868532E+03,4.883441E+03,3.562778E-01,3.769125E-01,0.000000E+00,8.694356E+04,0.000000E+00,6.707603E+00,9.675406E+03,4.963170E+03,3.886898E-01,3.830792E-01,2.586549E+04,1.546586E+04,1.039127E+00,1.193681E+00,2.598722E+04,1.656492E+04,1.044017E+00,1.278494E+00,9.719374E+03,4.843421E+03,3.904560E-01,3.738292E-01,8.943078E+04,8.436732E+04,3.592895E+00,6.511791E+00,1.619982E+04,4.785339E+03,6.505951E-01,3.694235E-01,4.551175E+04,1.479578E+04,1.827820E+00,1.142203E+00,4.569193E+04,1.559941E+04,1.835056E+00,1.204225E+00,1.626438E+04,4.715158E+03,6.531877E-01,3.640075E-01
00:30:00,0.000000E+00,8.113550E+04,0.000000E+00,6.259501E+00,9.169925E+03,4.845428E+03,3.683831E-01,3.739909E-01,2.445030E+04,1.549238E+04,9.822713E-01,1.195720E+00,2.447307E+04,1.642524E+04,9.831862E-01,1.267728E+00,8.911416E+03,4.849853E+03,3.579998E-01,3.743206E-01,0.000000E+00,8.690247E+04,0.000000E+00,6.704416E+00,9.734041E+03,4.929247E+03,3.910446E-01,3.804620E-01,2.601961E+04,1.536163E+04,1.045316E+00,1.185640E+00,2.614160E+04,1.643481E+04,1.050216E+00,1.268454E+00,9.778072E+03,4.809061E+03,3.928133E-01,3.711775E-01,9.004616E+04,8.399932E+04,3.617606E+00,6.483397E+00,1.629138E+04,4.734319E+03,6.542727E-01,3.654852E-01,4.576287E+04,1.464645E+04,1.837906E+00,1.130672E+00,4.594272E+04,1.542715E+04,1.845128E+00,1.190925E+00,1.635580E+04,4.666369E+03,6.568593E-01,3.602409E-01
00:40:00,0.000000E+00,8.112145E+04,0.000000E+00,6.258404E+00,9.208263E+03,4.812790E+03,3.699229E-01,3.714719E-01,2.454715E+04,1.539282E+04,9.861609E-01,1.188036E+00,2.457004E+04,1.630943E+04,9.870806E-01,1.258790E+00,8.949794E+03,4.815816E+03,3.595411E-01,3.716935E-01,0.000000E+00,8.685721E+04,0.000000E+00,6.700910E+00,9.787659E+03,4.894969E+03,3.931983E-01,3.778167E-01,2.616244E+04,1.525666E+04,1.051053E+00,1.177538E+00,2.628468E+04,1.630349E+04,1.055963E+00,1.258319E+00,9.831748E+03,4.774005E+03,3.949693E-01,3.684715E-01,9.056742E+04,8.361753E+04,3.638539E+00,6.453931E+00,1.636802E+04,4.682508E+03,6.573514E-01,3.614854E-01,4.597394E+04,1.449371E+04,1.846385E+00,1.118878E+00,4.615348E+04,1.525031E+04,1.853594E+00,1.177271E+00,1.643231E+04,4.616597E+03,6.599327E-01,3.563977E-01
00:50:00,0.000000E+00,8.110238E+04,0.000000E+00,6.256922E+00,9.243045E+03,4.779986E+03,3.713200E-01,3.689395E-01,2.463603E+04,1.529309E+04,9.897306E-01,1.180338E+00,2.465903E+04,1.619401E+04,9.906546E-01,1.249880E+00,8.984611E+03,4.781590E+03,3.609396E-01,3.690515E-01,0.000000E+00,8.680866E+04,0.000000E+00,6.697152E+00,9.837080E+03,4.860583E+03,3.951835E-01,3.751627E-01,2.629562E+04,1.515166E+04,1.056402E+00,1.169435E+00,2.641808E+04,1.617207E+04,1.061321E+00,1.248176E+00,9.881224E+03,4.738552E+03,3.969568E-01,3.657346E-01,9.101531E+04,8.322613E+04,3.656526E+00,6.423721E+00,1.643311E+04,4.630351E+03,6.599658E-01,3.574583E-01,4.615402E+04,1.433907E+04,1.853619E+00,1.106938E+00,4.633327E+04,1.507077E+04,1.860817E+00,1.163408E+00,1.649727E+04,4.566211E+03,6.625424E-01,3.525067E-01
01:00:00,0.000000E+00,8.107932E+04,0.000000E+00,6.255132E+00,9.274934E+03,4.747105E+03,3.726010E-01,3.664008E-01,2.471827E+04,1.519367E+04,9.930341E-01,1.172665E+00,2.474137E+04,1.607934E+04,9.939620E-01,1.241027E+00,9.016531E+03,4.747377E+03,3.622219E-01,3.664105E-01,0.000000E+00,8.675768E+04,0.000000E+00,6.693208E+00,9.883066E+03,4.826050E+03,3.970309E-01,3.724970E-01,2.642071E+04,1.504728E+04,1.061427E+00,1.161378E+00,2.654336E+04,1.604150E+04,1.066354E+00,1.238097E+00,9.927260E+03,4.702947E+03,3.988062E-01,3.629858E-01,9.140486E+04,8.282886E+04,3.672172E+00,6.393057E+00,1.648964E+04,4.578230E+03,6.622369E-01,3.534336E-01,4.631116E+04,1.418389E+04,1.859931E+00,1.094956E+00,4.649018E+04,1.489017E+04,1.867120E+00,1.149463E+00,1.655371E+04,4.515528E+03,6.648096E-01,3.485926E-01
01:10:00,0.000000E+00,8.111296E+04,0.000000E+00,6.257718E+00,9.306318E+03,4.718218E+03,3.738619E-01,3.641702E-01,2.480069E+04,1.510715E+04,9.963450E-01,1.165986E+00,2.482388E+04,1.597795E+04,9.972767E-01,1.233200E+00,9.047942E+03,4.717456E+03,3.634837E-01,3.641005E-01,0.000000E+00,8.675418E+04,0.000000E+00,6.692927E+00,9.926806E+03,4.795452E+03,3.987881E-01,3.701345E-01,2.654085E+04,1.495533E+04,1.066254E+00,1.154280E+00,2.666369E+04,1.592399E+04,1.071188E+00,1.229028E+00,9.971045E+03,4.671213E+03,4.005652E-01,3.605356E-01,9.175342E+04,8.248550E+04,3.686171E+00,6.366551E+00,1.653925E+04,4.530772E+03,6.642298E-01,3.497689E-01,4.644980E+04,1.404188E+04,1.865500E+00,1.083991E+00,4.662862E+04,1.472243E+04,1.872681E+00,1.136512E+00,1.660324E+04,4.468998E+03,6.667993E-01,3.449989E-01
01:20:00,0.000000E+00,8.114468E+04,0.000000E+00,6.260156E+00,9.335760E+03,4.690195E+03,3.750447E-01,3.620061E-01,2.487849E+04,1.502380E+04,9.994708E-01,1.159552E+00,2.490177E+04,1.588004E+04,1.000406E+00,1.225641E+00,9.077408E+03,4.688633E+03,3.646675E-01,3.618753E-01,0.000000E+00,8.674976E+04,0.000000E+00,6.692577E+00,9.968247E+03,4.765890E+03,4.004530E-01,3.678521E-01,2.665538E+04,1.486706E+04,1.070855E+00,1.147467E+00,2.677838E+04,1.581079E+04,1.075796E+00,1.220291E+00,1.001253E+04,4.640502E+03,4.022318E-01,3.581645E-01,9.206460E+04,8.215072E+04,3.698669E+00,6.340710E+00,1.658318E+04,4.484895E+03,6.659945E-01,3.462269E-01,4.657313E+04,1.390513E+04,1.870454E+00,1.073434E+00,4.675178E+04,1.455964E+04,1.877629E+00,1.123943E+00,1.664711E+04,4.423681E+03,6.685613E-01,3.414992E-01
01:30:00,0.000000E+00,8.117452E+04,0.000000E+00,6.262451E+00,9.363583E+03,4.663066E+03,3.761625E-01,3.599111E-01,2.495240E+04,1.494384E+04,1.002440E+00,1.153380E+00,2.497576E+04,1.578573E+04,1.003379E+00,1.218361E+00,9.105255E+03,4.661002E+03,3.657863E-01,3.597422E-01,0.000000E+00,8.674425E+04,0.000000E+00,6.692143E+00,1.000776E+04,4.737472E+03,4.020404E-01,3.656579E-01,2.676510E+04,1.478275E+04,1.075263E+00,1.140959E+00,2.688826E+04,1.570214E+04,1.080210E+00,1.211905E+00,1.005208E+04,4.610926E+03,4.038208E-01,3.558810E-01,9.234506E+04,8.182626E+04,3.709933E+00,6.315667E+00,1.662254E+04,4.441022E+03,6.675752E-01,3.428392E-01,4.668410E+04,1.377381E+04,1.874912E+00,1.063296E+00,4.686261E+04,1.440265E+04,1.882080E+00,1.111822E+00,1.668640E+04,4.379456E+03,6.701397E-01,3.380834E-01
01:40:00,0.000000E+00,8.120272E+04,0.000000E+00,6.264621E+00,9.390052E+03,4.637024E+03,3.772259E-01,3.578998E-01,2.502301E+04,1.486748E+04,1.005277E+00,1.147486E+00,2.504644E+04,1.569523E+04,1.006218E+00,1.211374E+00,9.131745E+03,4.634633E+03,3.668505E-01,3.577066E-01,0.000000E+00,8.673775E+04,0.000000E+00,6.691636E+00,1.004564E+04,4.710256E+03,4.035624E-01,3.635567E-01,2.687070E+04,1.470266E+04,1.079505E+00,1.134777E+00,2.699401E+04,1.559830E+04,1.084459E+00,1.203891E+00,1.009000E+04,4.582570E+03,4.053442E-01,3.536918E-01,9.259989E+04,8.151369E+04,3.720167E+00,6.291542E+00,1.665818E+04,4.399079E+03,6.690069E-01,3.396008E-01,4.678504E+04,1.364852E+04,1.878966E+00,1.053624E+00,4.696342E+04,1.425204E+04,1.886130E+00,1.100194E+00,1.672199E+04,4.336376E+03,6.715693E-01,3.347559E-01
