Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec
14728515320.28531,13469575023.049604,14522651555.00131,13774721215.56771,12702643019.968382,12038799681.429592,11853998635.042831,10983954828.384228,11441030142.908552,12323945068.682774,12540332816.824541,14433895575.643131
14723428359.78007,13460026275.250742,14512977360.20534,13764965826.43683,12683026339.845867,12029150749.361702,11849283947.78758,10969234191.529907,11426414378.85743,12314137257.89657,12530619187.09201,14424468802.928846
