Time,AIRLOOP 493:DesPer 1:Des Heat Mass Flow [kg/s],AIRLOOP 493:DesPer 1:Des Heat Cap [W],AIRLOOP 493:DesPer 1:Des Cool Mass Flow [kg/s],AIRLOOP 493:DesPer 1:Des Sens Cool Cap [W],AIRLOOP 493:DesPer 1:Des Tot Cool Cap [W],AIRLOOP 493:DesPer 2:Des Heat Mass Flow [kg/s],AIRLOOP 493:DesPer 2:Des Heat Cap [W],AIRLOOP 493:DesPer 2:Des Cool Mass Flow [kg/s],AIRLOOP 493:DesPer 2:Des Sens Cool Cap [W],AIRLOOP 493:DesPer 2:Des Tot Cool Cap [W]
00:10:00,5.067099E+00,0.000000E+00,1.029344E+01,1.260349E+05,2.953562E+05,1.976131E+01,5.718909E+05,5.067099E+00,0.000000E+00,0.000000E+00
00:20:00,5.067099E+00,0.000000E+00,1.017414E+01,1.235007E+05,2.908302E+05,1.987739E+01,5.752501E+05,5.067099E+00,0.000000E+00,0.000000E+00
00:30:00,5.067099E+00,0.000000E+00,1.004945E+01,1.209268E+05,2.861763E+05,1.997906E+01,5.781927E+05,5.067099E+00,0.000000E+00,0.000000E+00
00:40:00,5.067099E+00,0.000000E+00,9.921103E+00,1.183357E+05,2.814460E+05,2.006742E+01,5.807498E+05,5.067099E+00,0.000000E+00,0.000000E+00
00:50:00,5.067099E+00,0.000000E+00,9.790416E+00,1.157439E+05,2.766771E+05,2.014529E+01,5.830031E+05,5.067099E+00,0.000000E+00,0.000000E+00
01:00:00,5.067099E+00,0.000000E+00,9.658491E+00,1.131652E+05,2.719018E+05,2.021495E+01,5.850190E+05,5.067099E+00,0.000000E+00,0.000000E+00
01:10:00,5.067099E+00,0.000000E+00,9.549748E+00,1.112193E+05,2.681504E+05,2.027924E+01,5.868798E+05,5.067099E+00,0.000000E+00,0.000000E+00
01:20:00,5.067099E+00,0.000000E+00,9.444183E+00,1.093256E+05,2.645035E+05,2.033810E+01,5.885832E+05,5.067099E+00,0.000000E+00,0.000000E+00
01:30:00,5.067099E+00,0.000000E+00,9.343719E+00,1.075054E+05,2.610146E+05,2.039249E+01,5.901572E+05,5.067099E+00,0.000000E+00,0.000000E+00
01:40:00,5.067099E+00,0.000000E+00,9.249676E+00,1.057727E+05,2.577189E+05,2.044316E+01,5.916237E+05,5.067099E+00,0.000000E+00,0.000000E+00
01:50:00,5.067099E+00,0.000000E+00,9.163076E+00,1.041379E+05,2.546437E+05,2.049071E+01,5.929997E+05,5.067099E+00,0.000000E+00,0.000000E+00
02:00:00,5.067099E+00,0.000000E+00,9.081190E+00,1.025685E+05,2.517118E+05,2.053555E+01,5.942974E+05,5.067099E+00,0.000000E+00,0.000000E+00
02:10:00,5.067099E+00,0.000000E+00,9.001616E+00,1.011949E+05,2.490182E+05,2.057798E+01,5.955252E+05,5.067099E+00,0.000000E+00,0.000000E+00
02:20:00,5.067099E+00,0.000000E+00,8.931722E+00,9.993793E+04,2.466006E+05,2.061851E+01,5.966982E+05,5.067099E+00,0.000000E+00,0.000000E+00
02:30:00,5.067099E+00,0.000000E+00,8.866249E+00,9.873761E+04,2.443123E+05,2.065739E+01,5.978233E+05,5.067099E+00,0.000000E+00,0.000000E+00
02:40:00,5.067099E+00,0.000000E+00,8.802998E+00,9.756883E+04,2.420922E+05,2.069489E+01,5.989087E+05,5.067099E+00,0.000000E+00,0.000000E+00
02:50:00,5.067099E+00,0.000000E+00,8.741968E+00,9.643120E+04,2.399400E+05,2.073124E+01,5.999606E+05,5.067099E+00,0.000000E+00,0.000000E+00
03:00:00,5.067099E+00,0.000000E+00,8.686825E+00,9.536466E+04,2.379555E+05,2.076666E+01,6.009857E+05,5.067099E+00,0.000000E+00,0.000000E+00
03:10:00,5.067099E+00,0.000000E+00,8.639597E+00,9.439040E+04,2.361934E+05,2.080138E+01,6.019905E+05,5.067099E+00,0.000000E+00,0.000000E+00
03:20:00,5.067099E+00,0.000000E+00,8.592539E+00,9.342298E+04,2.344412E+05,2.083532E+01,6.029726E+05,5.067099E+00,0.000000E+00,0.000000E+00
03:30:00,5.067099E+00,0.000000E+00,8.545691E+00,9.246279E+04,2.326998E+05,2.086858E+01,6.039351E+05,5.067099E+00,0.000000E+00,0.000000E+00
03:40:00,5.067099E+00,0.000000E+00,8.502345E+00,9.154526E+04,2.310587E+05,2.090117E+01,6.048785E+05,5.067099E+00,0.000000E+00,0.000000E+00
03:50:00,5.067099E+00,0.000000E+00,8.459226E+00,9.063473E+04,2.294283E+05,2.093310E+01,6.058025E+05,5.067099E+00,0.000000E+00,0.000000E+00
04:00:00,5.067099E+00,0.000000E+00,8.417120E+00,8.973954E+04,2.278300E+05,2.096441E+01,6.067084E+05,5.067099E+00,0.000000E+00,0.000000E+00
04:10:00,5.067099E+00,0.000000E+00,8.378114E+00,8.902902E+04,2.264715E+05,2.099513E+01,6.075974E+05,5.067099E+00,0.000000E+00,0.000000E+00
04:20:00,5.067099E+00,0.000000E+00,8.340832E+00,8.833950E+04,2.251623E+05,2.102531E+01,6.084708E+05,5.067099E+00,0.000000E+00,0.000000E+00
04:30:00,5.067099E+00,0.000000E+00,8.305274E+00,8.767080E+04,2.239023E+05,2.105497E+01,6.093293E+05,5.067099E+00,0.000000E+00,0.000000E+00
04:40:00,5.067099E+00,0.000000E+00,8.274585E+00,8.705583E+04,2.227758E+05,2.108415E+01,6.101738E+05,5.067099E+00,0.000000E+00,0.000000E+00
04:50:00,5.067099E+00,0.000000E+00,8.255207E+00,8.656161E+04,2.219558E+05,2.111292E+01,6.110064E+05,5.067099E+00,0.000000E+00,0.000000E+00
05:00:00,5.067099E+00,0.000000E+00,8.257426E+00,8.629448E+04,2.217171E+05,2.114130E+01,6.118277E+05,5.067099E+00,0.000000E+00,0.000000E+00
05:10:00,5.067099E+00,0.000000E+00,9.944182E+00,1.042717E+05,2.673668E+05,2.308070E+01,6.679538E+05,5.067099E+00,0.000000E+00,0.000000E+00
05:20:00,5.067099E+00,0.000000E+00,8.966998E+00,9.434062E+04,2.414176E+05,2.318194E+01,6.708838E+05,5.067099E+00,0.000000E+00,0.000000E+00
05:30:00,5.067099E+00,0.000000E+00,1.049369E+01,1.107718E+05,2.828998E+05,2.456222E+01,7.108289E+05,5.067099E+00,0.000000E+00,0.000000E+00
